0,0,1,0,2500
16,0,0,1,13500
3,0,0,1,4725
5,0,0,1,6075
16,1,0,0,11000
17,0,0,1,14175
3,0,0,1,4725
6,1,0,0,5500
4,1,0,0,4400
9,0,0,1,8775
1,1,0,0,2750
8,0,0,1,8100
16,0,0,1,13500
10,0,1,0,8750
9,1,0,0,7150
3,1,0,0,3850
14,1,0,0,9900
19,0,0,1,15525
19,0,1,0,14375
6,0,0,1,6750
18,1,0,0,12100
19,0,0,1,15525
11,1,0,0,8250
8,1,0,0,6600
11,0,1,0,9375
4,0,1,0,5000
2,1,0,0,3300
5,1,0,0,4950
13,1,0,0,9350
14,0,1,0,11250
6,1,0,0,5500
1,1,0,0,2750
1,0,1,0,3125
14,1,0,0,9900
3,0,1,0,4375
0,0,0,1,2700
16,0,1,0,12500
1,1,0,0,2750
6,1,0,0,5500
4,0,1,0,5000
15,0,0,1,12825
8,0,0,1,8100
16,0,0,1,13500
1,0,0,1,3375
19,0,1,0,14375
12,0,0,1,10800
4,0,0,1,5400
15,1,0,0,10450
11,0,1,0,9375
3,0,0,1,4725
